[t,Sku,Regular Price,Stock,Image URL,On Ebay,Group,Person Name,C:Team,C:League
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0449),AidraF1302018RY0449,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0449.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,17,Aidra Fox,rb3,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0450),AidraF1302018RY0450,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0450.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,17,Aidra Fox,rb3,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0451),AidraF1302018RY0451,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0451.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,17,Aidra Fox,rb3,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0452),AidraF1302018RY0452,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0452.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,17,Aidra Fox,rb3,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0453),AidraF1302018RY0453,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0453.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,18,Aidra Fox,rxcb3,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0454),AidraF1302018RY0454,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0454.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,18,Aidra Fox,rxcb3,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0455),AidraF1302018RY0455,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0455.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,18,Aidra Fox,rxcb3,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0456),AidraF1302018RY0456,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0456.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,18,Aidra Fox,rxcb3,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0457),AidraF1302018RY0457,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0457.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,19,Aidra Fox,rc,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (Y15),AidraF11212016Y15,17.99,0,https://theautographbank.com/wp-content/uploads/2016/11/aidra20fox_11-21-2016_0015.jpg|https://theautographbank.com/wp-content/uploads/2016/11/aidra20fox20proof.jpg,,19,Aidra Fox,rc,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (Y16),AidraF11212016Y16,17.99,0,https://theautographbank.com/wp-content/uploads/2016/11/aidra20fox_11-21-2016_0016.jpg|https://theautographbank.com/wp-content/uploads/2016/11/aidra20fox20proof.jpg,,19,Aidra Fox,rc,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (Y37),AidraF11212016Y37,17.99,0,https://theautographbank.com/wp-content/uploads/2016/11/aidra20fox_11-21-2016_0037.jpg|https://theautographbank.com/wp-content/uploads/2016/11/aidra20fox20proof.jpg,,19,Aidra Fox,rc,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (Y46),AidraF11212016Y46,17.99,0,https://theautographbank.com/wp-content/uploads/2016/11/aidra20fox_11-21-2016_0046.jpg|https://theautographbank.com/wp-content/uploads/2016/11/aidra20fox20proof.jpg,,20,Aidra Fox,rbc,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (Y54),AidraF11212016Y54,17.99,0,https://theautographbank.com/wp-content/uploads/2016/11/aidra20fox_11-21-2016_0054.jpg|https://theautographbank.com/wp-content/uploads/2016/11/aidra20fox20proof.jpg,,20,Aidra Fox,rbc,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (Y56),AidraF11212016Y56,17.99,0,https://theautographbank.com/wp-content/uploads/2016/11/aidra20fox_11-21-2016_0056.jpg|https://theautographbank.com/wp-content/uploads/2016/11/aidra20fox20proof.jpg,,20,Aidra Fox,rbc,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (Y7),AidraF11212016Y7,17.99,0,https://theautographbank.com/wp-content/uploads/2016/11/aidra20fox_11-21-2016_0007.jpg|https://theautographbank.com/wp-content/uploads/2016/11/aidra20fox20proof.jpg,,20,Aidra Fox,rbc,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (Y8),AidraF11212016Y8,17.99,0,https://theautographbank.com/wp-content/uploads/2016/11/aidra20fox_11-21-2016_0008.jpg|https://theautographbank.com/wp-content/uploads/2016/11/aidra20fox20proof.jpg,,21,Aidra Fox,rxc,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (Y87),AidraF11212016Y87,17.99,0,https://theautographbank.com/wp-content/uploads/2016/11/aidra20fox_11-21-2016_0087.jpg|https://theautographbank.com/wp-content/uploads/2016/11/aidra20fox20proof.jpg,,21,Aidra Fox,rxc,
